,food,ingredients,allergens
38,Curried Collard Greens,"Ingredients: 
				Chopped Collard Greens (Collard Greens), Vegetable Stock (Water, Vegetable Soup Base (Vegetables (Celery, Carrots, Onions), Salt, Sugar, Dehydrated Potatoes (Potatoes, Mono and Diglycerides, Sodium Acid Pyrophosphate, Citric Acid), Dextrose, Seasoning (Hydrolyzed Corn Protein, Yeast Extract), Flavoring, Disodium Inosinate, Disodium Guanylate, Beet Powder.   )), Diced Carrots, Onions (Onions), Diced Celery, Garlic (Garlic ), Cornstarch (Corn Starch ), Olive Oil (Refined Olive Oil, Extra Virgin Olive Oil, ), Curry Powder (Turmeric, Coriander, Mustard, Cumin, Garlic, Ginger, Red Pepper, Salt. ), Kosher Salt (Salt), Ground White Pepper (White Peppercorns )",Allergens:
39,Steamed Summer Squash,"Ingredients: 
				Summer Squash (Summer Squash ), Parsley (Parsley )",Allergens:
40,Sour Cream,"Ingredients: 
				Sour Cream (Cultured pasteurized light cream, nonfat milk, enzymes. )",Allergens: Milk
41,Oatmeal Raisin Cookies,"Ingredients: 
				Oatmeal Raisin Cookie (Sugar, Enriched Wheat Flour (Contains Barley), Palm and Soybean Oil Spread (Palm Oil, Water, SoyBean Oil, Salt, Mono- and Diglycerides, Flavor [Contains Milk], Citric Acid, Vitamin A Palmitate, Beta Carotene (Color), Oats, Raisins (Raisins, Sunflower Oil), Liquid Whole Eggs, Blackstrap Molasses, Dextrose, Water, Coconut, Wheat Starch, Baking Soda, Salt, Cinnamon, Soy Flour. )","Allergens: Milk, Eggs, Tree Nuts, Wheat, Soybeans, Gluten"
42,"Tuscan Chickpeas with Garlic, Spinach and Tomatoes","Ingredients: 
				Garbanzo Beans (Prepared Chick Peas, Water, Salt, Mustard Calcium Chloride (Firming Agent), and Disodium EDTA  (Promotes Color Retention). ), Diced Tomatoes (Fresh Vine-Ripened California Tomatoes, Tomato Juice, Sea Salt, Calcium Chloride, Naturally Derived Citric Acid. ), Spinach (Spinach), Onions (Onions), Garlic (Garlic ), Ground Black Pepper (Black Pepper), Kosher Salt (Salt), Rosemary (Fresh Rosemary), Olive Oil (Refined Olive Oil, Extra Virgin Olive Oil, ), Greek Leaf Oregano (Dried Oregano )",Allergens:
43,Brown Rice,"Ingredients: 
				Water, Brown Rice (Long grain brown rice. )",Allergens:
44,"Fruit, Bananas","Ingredients: 
				Bananas (Banana)",Allergens:
45,"Fruit, Local Apples","Ingredients: 
				Early Mac Apples",Allergens:
46,"Fruit, Oranges","Ingredients: 
				Oranges (Orange)",Allergens:
47,Seasonal Hand Fruit,Ingredients: N/A,Allergens: N/A
48,Halal Rosemary &Garlic Chicken Tenders,"Ingredients: 
				Olive Oil (Refined Olive Oil, Extra Virgin Olive Oil, ), Garlic (Garlic ), Rosemary (Rosemary), Greek Leaf Oregano (Dried Oregano ), Parsley (Parsley )",Allergens:
49,Shrimp & Monterey Jack Quesadilla with Peppers & Tomato,"Ingredients: 
				Flour Tortilla (Bleached Enriched Wheat Flour (Flour, Malted Barley Flour, Niacin,  Reduced Iron, Thiamine mononitrate, Riboflavin, Folic Acid), Water, Interesterified Soybean Oil and/or Soybean Oil, and/or Canola Oil, Contains 2% or less of the following: Salt, Mono and Diglycerides, Guar Gum, Calcium Propionate (Preservative), Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Corn Starch, Monocalcium Phosphate), Fumaric Acid, Sodium Bicarbonate, Wheat Gluten, Dough Conditioner (Sodium Metabisulfite, Microcrystalline Cellulose, Dicalcium Phosphate), Preservative (Sodium Propionate and Potassium Sorbate). ), Shrimp, Monterey Jack Cheese (Montery Jack Cheese (Cultured)  Pasteurized Milk, Salt, Enzymes and Potato and Corn Starches  (Anti Caking Agents).), Local Backyard Beauty Tomatoes (Tomatoes), Suntan Peppers (Bell Peppers), Scallions (Fresh Scallions), Olive Oil (Refined Olive Oil, Extra Virgin Olive Oil, ), Kosher Salt (Salt), Ground Black Pepper (Black Pepper), Greek Leaf Oregano (Dried Oregano )","Allergens: Milk, Crustacean Shellfish, Wheat, Soybeans, Gluten"
50,Chicken Chili with Cilantro,"Ingredients: 
				Chicken Chili w/Cilantro Soup  (Chicken Meat (dark and light meat), Chicken Stock, (water, chicken bones, onions, celery, carrots, sea salt, garlic, parsley, white pepper, thyme, bay leaves, marjoram), White Navy Beans, Onions, Sour Cream (cultured light cream, nonfat milk, enzymes), Celery, Green Peppers, Chicken Fat, Rice Flour, Sea Salt, Garlic, Garlic Chili Pepper Sauce (red chili, water, sugar, garlic, salt, Distilled  Vinegar , sodium benzoate [a preservative], xantham gum [a stabilizer]), Cumin, Cilantro, Cocoa Powder, Ancho Chili Powder, Cayenne Pepper, Dried Thyme, Dried Oregano, White Pepper.  )",Allergens: Milk
51,Chopped Scallions,"Ingredients: 
				Scallions (Fresh Scallions)",Allergens:
52,Cornbread,"Ingredients: 
				Cornbread (Enriched Flour (Wheat Flour, malted Barley flour, niacin iron , Thiamine Mononitrate, Riboflavin, Folic Acid), ) Sugar, Soy Bean Oil,Degerminated Yellow Corn Meal, Whole Eggs, Sour Cream (Cultured pasteurized light cream Non-Fat Milk enzymes.) Dairy Powder (nonfat dry milk Whey Solids milk protein) Contains 2% or less of the following, Sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate, salt, Palm Oil, mono and diglycerides soy lecithin sodium benzoate(preservative) natural butter flavor, Vitamin A palmitate added, artificial flavor and Color,   MANUFACTURED ON EQUIPMENT THAT ALSO PROCESSES TREE NUTS AND PEANUTS)","Allergens: Milk, Eggs, Tree Nuts, Peanuts, Wheat, Soybeans, Gluten"
53,Quinoa and Sweet Potato Chili,"Ingredients: 
				Quinoa Sweet Potato w/Black Bean Chili  (Water, Sweet Potatoes, Black Beans, Onions, Diced Tomatoes (tomatoes, salt, citric acid), Red Quinoa, Red Peppers, Yellow Peppers, Orange Juice, Honey, Canola Oil, Lime Juice, Sea Salt, Tomato Paste (tomatoes,  citric acid), Corn Starch, Garlic, Spices, Cilantro, Paprika (for color).)",Allergens:
54,Shredded Cheddar Cheese,"Ingredients: 
				Shredded Yellow Cheddar Cheese (Cheddar Cheese [Cultured Pasteurized Milk, Salt, Enzymes and Annatto (Color)], Potato and Corn Starches (Anti Caking Agents).)",Allergens: Milk
55,Sour Cream,"Ingredients: 
				Sour Cream (Cultured pasteurized light cream, nonfat milk, enzymes. )",Allergens: Milk
56,Beyond Burger,"Ingredients: 
				Beyond Burger (Water, Pea Protein*, Expeller-Pressed Canola Oil, Refined Coconut Oil, Rice Protein, Natural Flavors, Cocoa Butter, Mung Bean Protein, Methylcelllulose, Potato Starch, Apple Extract, Pomegranate Extract, Salt, Potassium Chloride, Vinegar, Lemon Juice Concentrate, Sunflower Lecithin, Beet Juice Extract (for color), *Peas are legumes. People with severe allergies to legumes like peanuts should be cautious when introducing pea protein into their diet because of the possibility of a pea allergy. Contains no peanuts or tree nuts.   )",Allergens: Tree Nuts
57,French Fries,"Ingredients: 
				French Fries (Potatoes, Vegetable Oil (Contains one or more of the following Oils: Canola, Soybean, Cottonseed, Sunflower, Corn). Contains 2% or less of Dextrose, Sodium Acid Pyrophosphate added to maintain color.), Canola Oil (Canola Oil, Food Grade Antioxidant [Propylene Gylcol, Tertiary Butyl Hydroquinone, and Citric Acid], Food Grade Antifoaming Agent [Dimethylpolysiloxane]. ), Kosher Salt (Salt)",Allergens: Soybeans
58,Grilled Burger,"Ingredients: 
				4oz Burger Patty (Beef)",Allergens:
59,Grilled Chicken,"Ingredients: 
				Boneless Skinless Chicken Breast (Ice Glazed Boneless, Skinless 4 oz. Avg. Chicken Breast Fillets with Rib Meat Containing Up to 15% of a solution of water and Sea Salt ), Rotisserie Spice (Salt, Onion, Spices, Paprika, Garlic, and Citric Acid.  ), Olive Oil (Refined Olive Oil, Extra Virgin Olive Oil, )",Allergens:
60,Grilled Tofu,"Ingredients: 
				Nature Soy Tofu (Water, non-GMO Soybeans, Calcium Sulfate, Glucono Delta-lactone, Magnesium chloride.), Rotisserie Spice (Salt, Onion, Spices, Paprika, Garlic, and Citric Acid.  ), Olive Oil (Refined Olive Oil, Extra Virgin Olive Oil, )",Allergens: Soybeans
